--- Sheet: Image Rights Register ---
RKPR Resort — Image Rights Register (created 17 July 2026, Task 4 audit) |  |  |  |  |  |  |  |  |  |  |  | 
Every image in 02_MEDIA_INDEXABLE/Images/ is listed below. Honest disclosure: these images were extracted from PDF documents already present in the original RKPR Resort document upload; their true original photographer, licence and commercial-use terms were never disclosed to this project and are NOT independently verifiable from the source files. Do not mark any image 'Public Demo Approved = Yes' until the resort's marketing/legal team confirms real provenance or the images are replaced with confirmed-licence or resort-owned photography. |  |  |  |  |  |  |  |  |  |  |  | 
Image ID | Image File | Category | Original Source | Source URL | Photographer / Creator | AI Generated (Y/N) | License | Attribution Required | Commercial Use Allowed | Public Demo Approved | Internal Only | Notes
IMG-011 | Images/Rooms/MPS-03_Mountain_Panorama_Suite_-_private_indoor.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 2. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-012 | Images/Rooms/FCS-01_Family_Courtyard_Suite_-_family_room.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 3. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-013 | Images/Rooms/FCS-02_Family_Courtyard_Suite_-_garden_patio.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 3. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-014 | Images/Rooms/HPV-01_Honeymoon_Pool_Villa_-_pool_villa_exteri.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 3. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-015 | Images/Rooms/HPV-02_Honeymoon_Pool_Villa_-_bedroom.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 3. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-016 | Images/Rooms/HPV-03_Honeymoon_Pool_Villa_-_bathroom.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 3. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-017 | Images/Rooms/G2PV-01_Grand_Two-Bedroom_Pool_Villa_-_exterior.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 4. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-018 | Images/Rooms/G2PV-02_Grand_Two-Bedroom_Pool_Villa_-_private_p.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 4. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-019 | Images/Rooms/G2PV-03_Grand_Two-Bedroom_Pool_Villa_-_living_ro.jpg | Rooms | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Room_Catalogue_Image.pdf, page 4. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-020 | Images/Amenities/AM-01_Infinity_Swimming_Pool_with_Valley_Outlo.png | Amenities | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Amenities and Facilities Images.pdf, page 1. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-021 | Images/Amenities/AM-02_Modern_Fitness_Centre.png | Amenities | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Amenities and Facilities Images.pdf, page 2. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-022 | Images/Amenities/AM-03_Kids_Club_and_Creative_Space.png | Amenities | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Amenities and Facilities Images.pdf, page 3. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-023 | Images/Amenities/AM-04_Library_Lounge_and_Quiet_Area.png | Amenities | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Amenities and Facilities Images.pdf, page 4. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-024 | Images/Amenities/AM-05_Executive_Boardroom.png | Amenities | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Amenities and Facilities Images.pdf, page 4. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-025 | Images/Amenities/AM-06_Games_Room_and_Entertainment_Zone.png | Amenities | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Amenities and Facilities Images.pdf, page 5. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-026 | Images/Spa/SPA-01_Aranya_Wellness_Spa_Reception.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 1. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-027 | Images/Spa/SPA-02_Luxury_Treatment_Room.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 2. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-028 | Images/Spa/SPA-03_Private_Couple_Treatment_Suite.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 5. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-029 | Images/Spa/SPA-04_Sauna.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 6. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-030 | Images/Spa/SPA-05_Steam_Room.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 6. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-031 | Images/Spa/SPA-06_Hydrotherapy_Jacuzzi.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 6. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-032 | Images/Spa/SPA-07_Sunrise_Yoga_Session.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 7. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-033 | Images/Spa/SPA-08_Guided_Nature_Walk.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 7. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-034 | Images/Spa/SPA-09_Mountain_Cycling.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 7. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-035 | Images/Spa/SPA-10_Guided_Hiking.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 7. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-036 | Images/Spa/SPA-11_Resort_Bonfire_Evening.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 8. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-037 | Images/Spa/SPA-12_Aqua_Aerobics.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 8. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-038 | Images/Spa/SPA-13_Cultural_Dance_Performance.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 8. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-039 | Images/Spa/SPA-14_Live_Music_Lounge_Bar.png | Spa | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: Spa and Activities Images.pdf, page 8. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-040 | Images/Dining/DIN-01_Azure_Terrace_-_all-day_dining_restauran.jpg | Dining | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu, page 2. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-041 | Images/Dining/DIN-02_Ember__Spice_-_dinner_restaurant_India.jpg | Dining | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu, page 2. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-042 | Images/Dining/DIN-03_The_Cedar_Lounge_-_lobby_lounge.jpg | Dining | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu, page 2. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-043 | Images/Dining/DIN-04_Summit_Bar_-_indoor_bar_and_sunset_deck.jpg | Dining | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu, page 3. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-044 | Images/Dining/DIN-05_Masala_Dosa_-_signature_dish_photo.jpg | Dining | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu, page 4. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-045 | Images/Dining/DIN-06_Butter_Chicken_-_signature_dish_photo.jpg | Dining | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu, page 4. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-046 | Images/Dining/DIN-07_Tandoori_Platter_-_signature_dish_photo.jpg | Dining | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu, page 4. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-047 | Images/Dining/DIN-08_Azure_Terrace_terrace_seating.jpg | Dining | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu, page 5. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-048 | Images/Dining/DIN-09_Private_dining_room.jpg | Dining | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu, page 5. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.
IMG-049 | Images/Dining/DIN-10_Cocktail_presentation_-_Summit_Bar.jpg | Dining | Extracted from resort-provided source PDF (pre-existing in original document upload) | Not available - no source URL was provided with the original upload | Unknown / not disclosed | No (photographic imagery, not AI-generated, based on visual review) | Unknown - not disclosed by source | Unknown - assume Yes until confirmed otherwise | Unknown - do not use commercially until confirmed | No | No | Source document: RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu, page 6. Pending provenance confirmation from resort marketing/legal before any public-facing (non-internal-demo) use.

