image_id,filename,title,category,asset_code,caption,alt_text,tags,related_document,related_room,related_amenity,source_document,source_page,visibility,source_id
IMG-011,Images/Rooms/MPS-03_Mountain_Panorama_Suite_-_private_indoor.jpg,Mountain Panorama Suite - private indoor jacuzzi,Rooms,MPS-03,Mountain Panorama Suite - private indoor jacuzzi,Mountain Panorama Suite - private indoor jacuzzi at RKPR Resort.,"rooms, rkpr resort, mountain panorama suite",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Mountain Panorama Suite,,RKPR_Room_Catalogue_Image.pdf,2,Guest-visible,SRC-021
IMG-012,Images/Rooms/FCS-01_Family_Courtyard_Suite_-_family_room.jpg,Family Courtyard Suite - family room,Rooms,FCS-01,Family Courtyard Suite - family room,Family Courtyard Suite - family room at RKPR Resort.,"rooms, rkpr resort, family courtyard suite",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Family Courtyard Suite,,RKPR_Room_Catalogue_Image.pdf,3,Guest-visible,SRC-021
IMG-013,Images/Rooms/FCS-02_Family_Courtyard_Suite_-_garden_patio.jpg,Family Courtyard Suite - garden patio,Rooms,FCS-02,Family Courtyard Suite - garden patio,Family Courtyard Suite - garden patio at RKPR Resort.,"rooms, rkpr resort, family courtyard suite",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Family Courtyard Suite,,RKPR_Room_Catalogue_Image.pdf,3,Guest-visible,SRC-021
IMG-014,Images/Rooms/HPV-01_Honeymoon_Pool_Villa_-_pool_villa_exteri.jpg,Honeymoon Pool Villa - pool villa exterior,Rooms,HPV-01,Honeymoon Pool Villa - pool villa exterior,Honeymoon Pool Villa - pool villa exterior at RKPR Resort.,"rooms, rkpr resort, honeymoon pool villa",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Honeymoon Pool Villa,,RKPR_Room_Catalogue_Image.pdf,3,Guest-visible,SRC-021
IMG-015,Images/Rooms/HPV-02_Honeymoon_Pool_Villa_-_bedroom.jpg,Honeymoon Pool Villa - bedroom,Rooms,HPV-02,Honeymoon Pool Villa - bedroom,Honeymoon Pool Villa - bedroom at RKPR Resort.,"rooms, rkpr resort, honeymoon pool villa",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Honeymoon Pool Villa,,RKPR_Room_Catalogue_Image.pdf,3,Guest-visible,SRC-021
IMG-016,Images/Rooms/HPV-03_Honeymoon_Pool_Villa_-_bathroom.jpg,Honeymoon Pool Villa - bathroom,Rooms,HPV-03,Honeymoon Pool Villa - bathroom,Honeymoon Pool Villa - bathroom at RKPR Resort.,"rooms, rkpr resort, honeymoon pool villa",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Honeymoon Pool Villa,,RKPR_Room_Catalogue_Image.pdf,3,Guest-visible,SRC-021
IMG-017,Images/Rooms/G2PV-01_Grand_Two-Bedroom_Pool_Villa_-_exterior.jpg,Grand Two-Bedroom Pool Villa - exterior,Rooms,G2PV-01,Grand Two-Bedroom Pool Villa - exterior,Grand Two-Bedroom Pool Villa - exterior at RKPR Resort.,"rooms, rkpr resort, grand two-bedroom pool villa",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Grand Two-Bedroom Pool Villa,,RKPR_Room_Catalogue_Image.pdf,4,Guest-visible,SRC-021
IMG-018,Images/Rooms/G2PV-02_Grand_Two-Bedroom_Pool_Villa_-_private_p.jpg,Grand Two-Bedroom Pool Villa - private pool,Rooms,G2PV-02,Grand Two-Bedroom Pool Villa - private pool,Grand Two-Bedroom Pool Villa - private pool at RKPR Resort.,"rooms, rkpr resort, grand two-bedroom pool villa",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Grand Two-Bedroom Pool Villa,,RKPR_Room_Catalogue_Image.pdf,4,Guest-visible,SRC-021
IMG-019,Images/Rooms/G2PV-03_Grand_Two-Bedroom_Pool_Villa_-_living_ro.jpg,Grand Two-Bedroom Pool Villa - living room,Rooms,G2PV-03,Grand Two-Bedroom Pool Villa - living room,Grand Two-Bedroom Pool Villa - living room at RKPR Resort.,"rooms, rkpr resort, grand two-bedroom pool villa",RKPR_Resort_Room_Catalogue.pdf (SRC-001),Grand Two-Bedroom Pool Villa,,RKPR_Room_Catalogue_Image.pdf,4,Guest-visible,SRC-021
IMG-020,Images/Amenities/AM-01_Infinity_Swimming_Pool_with_Valley_Outlo.png,Infinity Swimming Pool with Valley Outlook,Amenities,AM-01,Infinity Swimming Pool with Valley Outlook,Infinity Swimming Pool with Valley Outlook at RKPR Resort.,"amenities, rkpr resort, infinity swimming pool with valley outlook",Amenities_and_Facilities_RKPR_Resort.pdf (SRC-006),,Infinity Swimming Pool,Amenities and Facilities Images.pdf,1,Guest-visible,SRC-021
IMG-021,Images/Amenities/AM-02_Modern_Fitness_Centre.png,Modern Fitness Centre,Amenities,AM-02,Modern Fitness Centre,Modern Fitness Centre at RKPR Resort.,"amenities, rkpr resort, modern fitness centre",Amenities_and_Facilities_RKPR_Resort.pdf (SRC-006),,Fitness Centre,Amenities and Facilities Images.pdf,2,Guest-visible,SRC-021
IMG-022,Images/Amenities/AM-03_Kids_Club_and_Creative_Space.png,Kids' Club and Creative Space,Amenities,AM-03,Kids' Club and Creative Space,Kids' Club and Creative Space at RKPR Resort.,"amenities, rkpr resort, kids' club and creative space",Amenities_and_Facilities_RKPR_Resort.pdf (SRC-006),,Kids' Club,Amenities and Facilities Images.pdf,3,Guest-visible,SRC-021
IMG-023,Images/Amenities/AM-04_Library_Lounge_and_Quiet_Area.png,Library Lounge and Quiet Area,Amenities,AM-04,Library Lounge and Quiet Area,Library Lounge and Quiet Area at RKPR Resort.,"amenities, rkpr resort, library lounge and quiet area",Amenities_and_Facilities_RKPR_Resort.pdf (SRC-006),,Library Lounge,Amenities and Facilities Images.pdf,4,Guest-visible,SRC-021
IMG-024,Images/Amenities/AM-05_Executive_Boardroom.png,Executive Boardroom,Amenities,AM-05,Executive Boardroom,Executive Boardroom at RKPR Resort.,"amenities, rkpr resort, executive boardroom",Amenities_and_Facilities_RKPR_Resort.pdf (SRC-006),,Executive Boardroom,Amenities and Facilities Images.pdf,4,Guest-visible,SRC-021
IMG-025,Images/Amenities/AM-06_Games_Room_and_Entertainment_Zone.png,Games Room and Entertainment Zone,Amenities,AM-06,Games Room and Entertainment Zone,Games Room and Entertainment Zone at RKPR Resort.,"amenities, rkpr resort, games room and entertainment zone",Amenities_and_Facilities_RKPR_Resort.pdf (SRC-006),,Games Room,Amenities and Facilities Images.pdf,5,Guest-visible,SRC-021
IMG-026,Images/Spa/SPA-01_Aranya_Wellness_Spa_Reception.png,Aranya Wellness Spa Reception,Spa,SPA-01,Aranya Wellness Spa Reception,Aranya Wellness Spa Reception at RKPR Resort.,"spa, rkpr resort, aranya wellness spa reception",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,1,Guest-visible,SRC-021
IMG-027,Images/Spa/SPA-02_Luxury_Treatment_Room.png,Luxury Treatment Room,Spa,SPA-02,Luxury Treatment Room,Luxury Treatment Room at RKPR Resort.,"spa, rkpr resort, luxury treatment room",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,2,Guest-visible,SRC-021
IMG-028,Images/Spa/SPA-03_Private_Couple_Treatment_Suite.png,Private Couple Treatment Suite,Spa,SPA-03,Private Couple Treatment Suite,Private Couple Treatment Suite at RKPR Resort.,"spa, rkpr resort, private couple treatment suite",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,5,Guest-visible,SRC-021
IMG-029,Images/Spa/SPA-04_Sauna.png,Sauna,Spa,SPA-04,Sauna,Sauna at RKPR Resort.,"spa, rkpr resort, sauna",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,6,Guest-visible,SRC-021
IMG-030,Images/Spa/SPA-05_Steam_Room.png,Steam Room,Spa,SPA-05,Steam Room,Steam Room at RKPR Resort.,"spa, rkpr resort, steam room",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,6,Guest-visible,SRC-021
IMG-031,Images/Spa/SPA-06_Hydrotherapy_Jacuzzi.png,Hydrotherapy Jacuzzi,Spa,SPA-06,Hydrotherapy Jacuzzi,Hydrotherapy Jacuzzi at RKPR Resort.,"spa, rkpr resort, hydrotherapy jacuzzi",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,6,Guest-visible,SRC-021
IMG-032,Images/Spa/SPA-07_Sunrise_Yoga_Session.png,Sunrise Yoga session,Spa,SPA-07,"Sunrise Yoga session (Resort Activities) [Caption inferred from the Resort Activities schedule table order in the source PDF - the 8 activities other than Kids' Club (which has its own image, AM-03) appear in the same sequence as these 8 images. Not an explicit per-image caption in the source; confirm with Recreation Manager before treating as final.]",Sunrise Yoga session (Resort Activities) at RKPR Resort.,"spa, resort activities, rkpr resort, sunrise yoga session",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,7,Guest-visible (caption inferred from context - confirm before final use),SRC-021
IMG-033,Images/Spa/SPA-08_Guided_Nature_Walk.png,Guided Nature Walk,Spa,SPA-08,"Guided Nature Walk (Resort Activities) [Caption inferred from the Resort Activities schedule table order in the source PDF - the 8 activities other than Kids' Club (which has its own image, AM-03) appear in the same sequence as these 8 images. Not an explicit per-image caption in the source; confirm with Recreation Manager before treating as final.]",Guided Nature Walk (Resort Activities) at RKPR Resort.,"spa, resort activities, rkpr resort, guided nature walk",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,7,Guest-visible (caption inferred from context - confirm before final use),SRC-021
IMG-034,Images/Spa/SPA-09_Mountain_Cycling.png,Mountain Cycling,Spa,SPA-09,"Mountain Cycling (Resort Activities) [Caption inferred from the Resort Activities schedule table order in the source PDF - the 8 activities other than Kids' Club (which has its own image, AM-03) appear in the same sequence as these 8 images. Not an explicit per-image caption in the source; confirm with Recreation Manager before treating as final.]",Mountain Cycling (Resort Activities) at RKPR Resort.,"spa, resort activities, rkpr resort, mountain cycling",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,7,Guest-visible (caption inferred from context - confirm before final use),SRC-021
IMG-035,Images/Spa/SPA-10_Guided_Hiking.png,Guided Hiking,Spa,SPA-10,"Guided Hiking (Resort Activities) [Caption inferred from the Resort Activities schedule table order in the source PDF - the 8 activities other than Kids' Club (which has its own image, AM-03) appear in the same sequence as these 8 images. Not an explicit per-image caption in the source; confirm with Recreation Manager before treating as final.]",Guided Hiking (Resort Activities) at RKPR Resort.,"spa, resort activities, rkpr resort, guided hiking",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,7,Guest-visible (caption inferred from context - confirm before final use),SRC-021
IMG-036,Images/Spa/SPA-11_Resort_Bonfire_Evening.png,"Resort Bonfire, evening",Spa,SPA-11,"Resort Bonfire, evening (Resort Activities) [Caption inferred from the Resort Activities schedule table order in the source PDF - the 8 activities other than Kids' Club (which has its own image, AM-03) appear in the same sequence as these 8 images. Not an explicit per-image caption in the source; confirm with Recreation Manager before treating as final.]","Resort Bonfire, evening (Resort Activities) at RKPR Resort.","spa, resort activities, rkpr resort, resort bonfire, evening",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,8,Guest-visible (caption inferred from context - confirm before final use),SRC-021
IMG-037,Images/Spa/SPA-12_Aqua_Aerobics.png,Aqua Aerobics in the resort pool,Spa,SPA-12,"Aqua Aerobics in the resort pool (Resort Activities) [Caption inferred from the Resort Activities schedule table order in the source PDF - the 8 activities other than Kids' Club (which has its own image, AM-03) appear in the same sequence as these 8 images. Not an explicit per-image caption in the source; confirm with Recreation Manager before treating as final.]",Aqua Aerobics in the resort pool (Resort Activities) at RKPR Resort.,"spa, resort activities, rkpr resort, aqua aerobics in the resort pool",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,8,Guest-visible (caption inferred from context - confirm before final use),SRC-021
IMG-038,Images/Spa/SPA-13_Cultural_Dance_Performance.png,"Cultural Dance performance, amphitheater",Spa,SPA-13,"Cultural Dance performance, amphitheater (Resort Activities) [Caption inferred from the Resort Activities schedule table order in the source PDF - the 8 activities other than Kids' Club (which has its own image, AM-03) appear in the same sequence as these 8 images. Not an explicit per-image caption in the source; confirm with Recreation Manager before treating as final.]","Cultural Dance performance, amphitheater (Resort Activities) at RKPR Resort.","spa, resort activities, rkpr resort, cultural dance performance, amphitheater",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,8,Guest-visible (caption inferred from context - confirm before final use),SRC-021
IMG-039,Images/Spa/SPA-14_Live_Music_Lounge_Bar.png,"Live Music, lounge bar",Spa,SPA-14,"Live Music, lounge bar (Resort Activities) [Caption inferred from the Resort Activities schedule table order in the source PDF - the 8 activities other than Kids' Club (which has its own image, AM-03) appear in the same sequence as these 8 images. Not an explicit per-image caption in the source; confirm with Recreation Manager before treating as final.]","Live Music, lounge bar (Resort Activities) at RKPR Resort.","spa, resort activities, rkpr resort, live music, lounge bar",Spa and Activities.pdf (SRC-004),,,Spa and Activities Images.pdf,8,Guest-visible (caption inferred from context - confirm before final use),SRC-021
IMG-040,Images/Dining/DIN-01_Azure_Terrace_-_all-day_dining_restauran.jpg,Azure Terrace - all-day dining restaurant,Dining,DIN-01,Azure Terrace - all-day dining restaurant,Azure Terrace - all-day dining restaurant at RKPR Resort.,"dining, rkpr resort, azure terrace",RKPR_Resort_Restaurant_Menu_Full_2026.pdf (SRC-016),,,RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu,2,Guest-visible,SRC-021
IMG-041,Images/Dining/DIN-02_Ember__Spice_-_dinner_restaurant_India.jpg,"Ember & Spice - dinner restaurant, Indian grills",Dining,DIN-02,"Ember & Spice - dinner restaurant, Indian grills","Ember & Spice - dinner restaurant, Indian grills at RKPR Resort.","dining, rkpr resort, ember & spice",RKPR_Resort_Restaurant_Menu_Full_2026.pdf (SRC-016),,,RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu,2,Guest-visible,SRC-021
IMG-042,Images/Dining/DIN-03_The_Cedar_Lounge_-_lobby_lounge.jpg,The Cedar Lounge - lobby lounge,Dining,DIN-03,The Cedar Lounge - lobby lounge,The Cedar Lounge - lobby lounge at RKPR Resort.,"dining, rkpr resort, the cedar lounge",RKPR_Resort_Restaurant_Menu_Full_2026.pdf (SRC-016),,,RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu,2,Guest-visible,SRC-021
IMG-043,Images/Dining/DIN-04_Summit_Bar_-_indoor_bar_and_sunset_deck.jpg,Summit Bar - indoor bar and sunset deck,Dining,DIN-04,Summit Bar - indoor bar and sunset deck,Summit Bar - indoor bar and sunset deck at RKPR Resort.,"dining, rkpr resort, summit bar",RKPR_Resort_Restaurant_Menu_Full_2026.pdf (SRC-016),,,RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu,3,Guest-visible,SRC-021
IMG-044,Images/Dining/DIN-05_Masala_Dosa_-_signature_dish_photo.jpg,Masala Dosa - signature dish photo,Dining,DIN-05,Masala Dosa - signature dish photo,Masala Dosa - signature dish photo at RKPR Resort.,"dining, rkpr resort, masala dosa",RKPR_Resort_Restaurant_Menu_Full_2026.pdf (SRC-016),,,RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu,4,Guest-visible,SRC-021
IMG-045,Images/Dining/DIN-06_Butter_Chicken_-_signature_dish_photo.jpg,Butter Chicken - signature dish photo,Dining,DIN-06,Butter Chicken - signature dish photo,Butter Chicken - signature dish photo at RKPR Resort.,"dining, rkpr resort, butter chicken",RKPR_Resort_Restaurant_Menu_Full_2026.pdf (SRC-016),,,RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu,4,Guest-visible,SRC-021
IMG-046,Images/Dining/DIN-07_Tandoori_Platter_-_signature_dish_photo.jpg,Tandoori Platter - signature dish photo,Dining,DIN-07,Tandoori Platter - signature dish photo,Tandoori Platter - signature dish photo at RKPR Resort.,"dining, rkpr resort, tandoori platter",RKPR_Resort_Restaurant_Menu_Full_2026.pdf (SRC-016),,,RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu,4,Guest-visible,SRC-021
IMG-047,Images/Dining/DIN-08_Azure_Terrace_terrace_seating.jpg,Azure Terrace terrace seating,Dining,DIN-08,Azure Terrace terrace seating,Azure Terrace terrace seating at RKPR Resort.,"dining, rkpr resort, azure terrace terrace seating",RKPR_Resort_Restaurant_Menu_Full_2026.pdf (SRC-016),,,RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu,5,Guest-visible,SRC-021
IMG-048,Images/Dining/DIN-09_Private_dining_room.jpg,Private dining room,Dining,DIN-09,Private dining room,Private dining room at RKPR Resort.,"dining, rkpr resort, private dining room",RKPR_Resort_Restaurant_Menu_Full_2026.pdf (SRC-016),,,RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu,5,Guest-visible,SRC-021
IMG-049,Images/Dining/DIN-10_Cocktail_presentation_-_Summit_Bar.jpg,Cocktail presentation - Summit Bar,Dining,DIN-10,Cocktail presentation - Summit Bar,Cocktail presentation - Summit Bar at RKPR Resort.,"dining, rkpr resort, cocktail presentation",RKPR_Resort_Restaurant_Menu_Full_2026.pdf (SRC-016),,,RKPR_Resort_Restaurant_Menu.pdf / Full 2026 menu,6,Guest-visible,SRC-021
